epoch,avg_nv,avg_td,avg_score,best_score,eval_score,eval_nv,eval_td,num_episodes,total_reward,total_steps,policy_loss,value_loss,entropy,lr,gamma,lam,epsilon_clip,vf_coeff,ent_coeff,manager_lr_init,ppo_epochs,mini_batch_size,max_grad_norm,target_kl,reward_clip_min,reward_clip_max,failure_penalty,no_improvement_penalty,eval_instances_count,holdout_eval_score,holdout_eval_nv,holdout_eval_td,holdout_instances_count,holdout_eval_interval,best_model_metric,selection_metric,tracking_score,run_tag
1,33.75,55520.875,89270.875,19332.0,42232.8,19.6,22632.8,8,-188.599503965021,400,-0.02352183156957229,8.756920258204142,1.8558440407117207,9.9375e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
2,39.125,51839.125,90964.125,38997.0,42237.6,19.6,22637.6,8,-208.63294836774165,400,0.013886899609739581,14.39351757367452,1.8102469742298126,9.875e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
3,19.5,28670.25,48170.25,30557.0,42238.4,19.6,22638.4,8,-191.69226371015986,400,0.019951547496020794,9.66026504834493,1.789497544368108,9.8125e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
4,34.75,40121.375,74871.375,19332.0,42233.8,19.6,22633.8,8,-345.26542657332254,400,-0.005079334058488409,78.41383250554402,1.9238698482513428,9.75e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
5,29.25,32430.0,61680.0,23590.0,42240.4,19.6,22640.4,8,-188.01421217347712,400,-0.021998480971281726,8.535580396652222,1.8059355517228444,9.6875e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,64739.8,25.6,39139.8,5,5,composite,composite_eval_holdout,53490.100000000006,final_v1
6,24.5,31444.0,55944.0,21897.0,42239.2,19.6,22639.2,8,-190.32097974041065,400,0.03941913057739536,10.072859446207682,1.8059082726637523,9.625e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
7,33.625,38309.75,71934.75,35393.0,42244.0,19.6,22644.0,8,-293.03398958416705,400,-0.0421053619744877,37.60661554336548,1.8231146732966106,9.562500000000001e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
8,27.0,42331.875,69331.875,19332.0,42252.8,19.6,22652.8,8,-184.96220592174421,400,0.03156077644477288,7.986479798952739,1.8477738698323567,9.5e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
9,32.625,37081.125,69706.125,19332.0,42247.4,19.6,22647.4,8,-249.9023117980226,400,-0.012298658955842257,18.97629984219869,1.86970716714859,9.4375e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
10,32.125,50524.625,82649.625,25138.0,42251.6,19.6,22651.6,8,-294.1916708606397,400,-0.05842374498024583,40.84917155901591,1.7995348572731018,9.375e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,64763.4,25.6,39163.4,5,5,composite,composite_eval_holdout,53507.5,final_v1
11,29.375,28330.375,57705.375,35485.0,42248.4,19.6,22648.4,8,-284.55923657770643,400,0.03751519834622741,36.13585408528646,1.8732211887836456,9.3125e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
12,21.75,29717.25,51467.25,35391.0,42247.4,19.6,22647.4,8,-194.48187832834537,400,-0.038414334723105036,8.793268203735352,1.8157103260358174,9.25e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
13,38.5,47669.875,86169.875,38566.0,42244.4,19.6,22644.4,8,-187.4105516629313,400,-0.0011536103362838428,7.564715305964152,1.9064555764198303,9.1875e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
14,40.5,53789.25,94289.25,29877.0,42253.4,19.6,22653.4,8,-243.80240881589356,400,0.03321137341360251,25.17510414123535,1.979621817668279,9.125e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,,,,5,5,composite,composite_eval_holdout,,final_v1
15,21.75,29870.5,51620.5,19332.0,42249.0,19.6,22649.0,8,-249.5974178009739,400,0.026713088465233643,20.642630179723103,1.8560380041599274,9.0625e-05,0.95,0.9,0.2,0.5,0.02,0.0001,3,128,0.5,0.015,-10.0,10.0,-5.0,-0.5,5,64755.6,25.6,39155.6,5,5,composite,composite_eval_holdout,53502.3,final_v1
